web-scraper-order,web-scraper-start-url,recipe,recipe-href,ingredients,instructions,next,next-href
1538530621-404,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,mysore bonda recipe | mysore bajji recipe | ulundu bonda recipe,https://hebbarskitchen.com/mysore-bonda-recipe-mysore-bajji-recipe/,Ingredients (1 cup = 255 ML),,,
1538530619-401,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,pesarattu recipe | moong dal dosa recipe | how to make pesarattu dosa,https://hebbarskitchen.com/pesarattu-recipe-moong-dal-dosa-recipe/,Ingredients (1 cup = 255 ML),,,
1538530633-417,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,masala oats recipe | easy homemade veg masala oats upma,https://hebbarskitchen.com/easy-homemade-veg-masala-oats-recipe/,,Instructionsfirstly heat olive oil or ghee and add cumin seeds.additionally add onions and saute well.also add ginger-garlic paste and green chilli. continue to saute.furthermore add tomato and saute till they turn soft and mushy.now add vegetables of your choice.saute for 2 minutes till they cook and also retain their crunchiness.further add chili powder garam masala and salt.saute for a minute on low flame till spices turn aromatic.further add 1 cup of rolled oats.saute for a minute this helps oats to absorb spices.additionally add 2 cups of water.mix gently without mashing the oats.cover and simmer for 5 minutes or till the oats get cooked well.transfer to the serving bowl and garnish with coriander leaves and chopped nuts.finally serve healthy masala oats along with hot masala chai.,,
1538530637-422,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,cheese dosa recipe | cheese masala dosa recipe with red chutney,https://hebbarskitchen.com/cheese-dosa-recipe-cheese-masala-dosa/,Ingredients (1 cup = 255 ML),,,
1538530604-381,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,spring dosa recipe | schezwan dosa recipe | chinese dosa recipe,https://hebbarskitchen.com/spring-dosa-recipe-chinese-schezwan-dosa/,,Instructionsschezwan noodles recipe:firstly in a large kadai or wok heat oil.further add garlic and saute well.also add spring onions and continue to sauce.now add vegetables and saute for a minute or till they shrink slightly.additionally add salt schezwan sauce soy sauce and vinegar.also add cooked rice noodles or any noodles of your choice.mix gently without breaking the rice noodles and making sure the sauce has covered uniformly. keep aside.how to prepare schezwan noodle dosa or spring dosa:pour a ladleful of the dosa batter on it and spread it in a circular motion thin circle.add a dollop of butter add schezwan sauceand mix schezwan sauce and butter together and spread.also spread 2 tbsp of prepared schezwan noodles at one side.cook till the bottom of dosa turns golden brown.then roll the dosa along with noodles.finally cut half schezwan noodle dosa or spring dosa and serve immediately with tomato sauce.,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530617-398,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,parotta recipe | kerala paratha recipe | malabar paratha recipe,https://hebbarskitchen.com/parotta-recipe-kerala-paratha-malabar/,Ingredients (1 cup = 255 ML),,,
1538530633-415,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,masala oats recipe | easy homemade veg masala oats upma,https://hebbarskitchen.com/easy-homemade-veg-masala-oats-recipe/,Ingredients (1 cup = 255 ML) 2 tsp olive oil / ghee ½ tsp cumin / jeera 1 green chilli slit ½ onion finely chopped 1 tsp ginger-garlic paste / adrak-lasun ka paste 1 to mato finely chopped 3 beans finely chopped ½ capsicum finely chopped ¼ cup peas fresh / frozen 1 carrot finely chopped ½ tsp kashmiri red chili powder / lal mirch powder ¼ tsp turmeric / haldi salt to taste ½ tsp garam masala powder 1 cup rolled oats 2 cups water adjust to consistency 2 tsp coriander leaves finely chopped few cashews chopped,,,
1538530598-373,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,banana bread recipe | eggless banana bread recipe | vegan banana bread,https://hebbarskitchen.com/eggless-vegan-banana-bread-recipe/,Ingredients (1 cup = 255 ML) 3 banana ripped ¾ cup sugar or 1 cup depending on sweetness of banana ½ cup oil or butter 1 tsp vanilla extract ¾ cup maida / plain flour / all-purpose flour ¾ cup wheat flour / atta 1 tsp baking powder 1 tsp baking soda / sodium bicarbonate ¼ tsp cinnamon powder / dalchini powder pinch of salt ½ cup walnut / akharot,,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530624-407,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,poha recipe | aloo poha recipe | aloo kandha poha | batata poha recipe,https://hebbarskitchen.com/poha-recipe-aloo-poha-batata-poha-recipe/,Ingredients (1 cup = 255 ML),,,
1538530596-370,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,veg frankie recipe | veg kathi roll recipe | veg frankie roll recipe,https://hebbarskitchen.com/veg-frankie-recipe-kathi-frankie-roll/,"Ingredients (1 cup = 255 ML)for aloo stuffing: 2 tsp oil ½ capsicum thinly sliced 2 potatoes boiled, peeled and mashed ¾ cup paneer / cottage cheese crumbled 1 tsp kashmiri chili powder / lal mirch powder ½ tsp garam masala powder ½ tsp chaat masala salt to tasteother ingredients: 2 tsp butter 3 chapathi or wraps 6 tsp tomato sauce ½ cup lettuce thinly chopped 1 carrot thinly chopped ½ onion thinly sliced 3 tsp green chutney",,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530624-406,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,poha recipe | aloo poha recipe | aloo kandha poha | batata poha recipe,https://hebbarskitchen.com/poha-recipe-aloo-poha-batata-poha-recipe/,Ingredients (1 cup = 255 ML) 1 cup thick poha / beaten rice / flattened rice / aval / avalakki water for soaking ½ tsp sugar salt to taste 3 tsp oil 1 tsp mustard seeds / rai ½ tsp cumin seeds / jeera pinch of hing / asafoetida few curry leaves / kadi patta 1 small onion finely chopped 1 green chilli finely chopped ½ tsp turmeric / haldi 1 inch ginger finely chopped 1 small potato finely chopped 2 tbsp roasted peanuts 1 tbsp coriander leaves finely chopped 1 tbsp lemon juice,,,
1538530602-378,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,baked vada pav recipe | masala bun recipe | masala bun recipe,https://hebbarskitchen.com/baked-vada-pav-recipe-ladi-pav-recipe/,,Instructionsfirstly activate the yeast in milk or water.later add maida add salt. knead the dough for 10 minutes.furthermore add 2 tbsp of butter and knead for another 5 minutes.tuck the dough well till there are smooth.cover and rest the dough in warm place for 2 hours to ferment.further punch the dough to remove the excess air incorporated in the dough.combine the dough further knead for a minute.tuck the dough to form a ball.cut into equal 6 pieces and make a ball out of it.add dry garlic powder at the centre.and place the prepared aloo masala.stuff and seal the corner.place the prepared stuffed pav balls into the loaf tray.cover and rest for 1 hour .furthermore brush with milk.and bake at 180 degree celsius for 25 minutes.finally allow it to cool completely before serving.,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530596-371,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,veg frankie recipe | veg kathi roll recipe | veg frankie roll recipe,https://hebbarskitchen.com/veg-frankie-recipe-kathi-frankie-roll/,Ingredients (1 cup = 255 ML),,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530604-379,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,spring dosa recipe | schezwan dosa recipe | chinese dosa recipe,https://hebbarskitchen.com/spring-dosa-recipe-chinese-schezwan-dosa/,Ingredients (1 cup = 255 ML)for schezwan noodles: 2 tsp oil 2 cloves garlic finely chopped 3 stem spring onions finely chopped 1 small capsicum thinly sliced 1 carrot thinly shredded ½ cup cabbage thinly shredded 1 tbsp schezwan sauce 1 tsp soy sauce salt to taste 1 tsp vinegar 1 rice noodles / maggie / any noodles cookedfor dosa: 4 cup dosa batter 3 tbsp butter 3 tsp schezwan sauce,,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530610-390,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,semiya idli recipe | vermicelli instant idli recipe | rava semiya idli recipe,https://hebbarskitchen.com/instant-vermicelli-semiya-idli-recipe/,,Instructionsfirstly dry roast rava on low flame till they turn aromatic.furthermore roast semiya with a tsp of oil till they turn crisp and slightly golden brown.additionally add curd.meanwhile prepare the tempering by heating oil mustard seeds urad dal chana dal and hing.also add green chili ginger and curry leaves.additionally add turmeric and saute till it splutter.pour the tempering into the same bowl.also add coriander leaves salt and mix well.furthermore add water as required and mix well.rest the batter for 20 minutes.just before steaming add a pinch of baking soda and mix well till it turns frothy.pour the batter immediately into the idli plate. do not rest the batter.also as other idlis you have to steam it for 8-10 mins on medium flame.finally serve hot with coconut chutney and sambar.,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530635-420,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,macaroni recipe | macaroni pasta recipe | indian recipe of macaroni,https://hebbarskitchen.com/macaroni-recipe-macaroni-pasta-recipe/,,Instructionsfirstly heat a large kadai with oil and saute garlic.furthermore add in onions and saute well.additionally add in tomatoes and saute till they turn soft and mushy.now add vegetables of your choice.saute for 2 minutes or till vegetables are half cooked.now add in ½ tsp chili powder ½ tsp aamchur and salt to taste.saute on low flame till the spices gets cooked well.additionally add in 2-3 tbsp tomato sauce and ½ tsp crushed pepper. give a good mix.furthermore add cooked macaroni.mix gently coating the masala sauce well.transfer to the serving bowl and grate cheese.finally serve veg macaroni garnished with chopped spring onions for your breakfast.,,
1538530621-403,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,mysore bonda recipe | mysore bajji recipe | ulundu bonda recipe,https://hebbarskitchen.com/mysore-bonda-recipe-mysore-bajji-recipe/,Ingredients (1 cup = 255 ML) ½ cup urad dal water to soak 1 tbsp rice flour 1 inch ginger finely chopped few curry leaves finely chopped 1 green chili finely chopped 1 tbsp coriander leaves finely chopped ½ tsp pepper crushed salt to taste oil for deep frying,,,
1538530637-421,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,cheese dosa recipe | cheese masala dosa recipe with red chutney,https://hebbarskitchen.com/cheese-dosa-recipe-cheese-masala-dosa/,Ingredients (1 cup = 255 ML)for red chutney: 2 tsp oil 2 tbsp chana dal 4 cloves garlic 1 inch ginger 1 onion finely chopped 3 whole kashmiri red chilli dried ¼ tsp turmeric / haldi salt to tastefor aloo bhaji: 2 tsp oil ½ tsp mustard seeds ½ tsp jeera / cumin pinch of hing / asafoetida ¾ tsp urad dal ¾ tsp chana dal few curry leaves ½ onion finely chopped 1 inch ginger finely chopped 1 green chilli finely chopped ½ tsp turmeric / haldi salt to taste 2 potato boiled & peeled ¼ cup water adjust consistency 2 tbsp coriander leaves finely chopped 1 tbsp lemon juiceother ingredients: 2 cups dosa batter 4 tsp butter ½ cup cheese cheddar or mozzarella,,,
1538530635-419,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,macaroni recipe | macaroni pasta recipe | indian recipe of macaroni,https://hebbarskitchen.com/macaroni-recipe-macaroni-pasta-recipe/,Ingredients (1 cup = 255 ML),,,
1538530617-397,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,parotta recipe | kerala paratha recipe | malabar paratha recipe,https://hebbarskitchen.com/parotta-recipe-kerala-paratha-malabar/,Ingredients (1 cup = 255 ML)for dough: 2 cup maida / plain flour / refined flour 1 tsp sugar salt to taste 2 tbsp + 2 tsp oil water as required to kneadfor roasting: 4-5 tsp oil add as required,,,
1538530606-382,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,gobi paratha recipe | gobi ka paratha | gobhi paratha recipe,https://hebbarskitchen.com/gobi-paratha-recipe-gobhi-paratha-recipe/,Ingredients (1 cup = 255 ML)for stuffing: 2 tsp oil 1 tsp ginger / adrak grated 2 cup gobi / cauliflower grated ½ tsp turmeric / haldi ½ tsp kashmiri red chili powder / lal mirch powder ½ tsp coriander powder / daniya powder ½ tsp cumin powder / jeera powder ½ tsp garam masala powder ½ tsp aamchur powder / dry mango powder salt to taste 2 tsp coriander finely choppedfor chapathi / paratha dough: 1 cup whole wheat flour / atta salt to taste 1 tsp oil or ghee water as required for kneading ¼ cup wheat flour for dustingfor roasting paratha: ghee or oil as required,,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530627-413,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,idiyappam recipe | nool puttu | kerala style idiyappam with rice flour,https://hebbarskitchen.com/kerala-style-idiyappam-recipe-rice-flour/,Ingredients (1 cup = 255 ML),,,
1538530608-385,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,rava vada recipe | instant sooji vada recipe | instant medu vada recipe,https://hebbarskitchen.com/instant-rava-vada-recipe-medu-vada/,Ingredients (1 cup = 255 ML) 1 cup rava / bombay rava / semolina / sooji ¾ cup curd / yogurt sour 1 tsp cumin seeds / jeera 1 green chili finely chopped 5 curry leaves / kadi patta finely chopped 1 inch ginger / adrak finely chopped 2 tbsp coriander leaves finely chopped 3 tbsp onion finely chopped salt to taste water if required to prepare dough oil for deep frying,,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530608-387,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,rava vada recipe | instant sooji vada recipe | instant medu vada recipe,https://hebbarskitchen.com/instant-rava-vada-recipe-medu-vada/,,Instructionsfirstly in a large mixing bowl take 1 cup of rava.further add curd. amount of curd depends on the curd thickness so add as required. use sour curd for tasty rava vada.additionally add cumin seeds green chili ginger curry leaves coriander leaves onion and salt.mix well to form a dough.add extra water or curd if required. if the dough turn watery add little more semolina / sooji.rest the dough for 25 minutes so that the sooji absorbs moisture and swells.now grease both hands with oil and take a ball sized dough.flatten with hands and make a hole in centre.further slowly drop into hot oil.and fry the vadas on medium flame stirring occasionally.fry the vadas till they turn golden brown from both sides.and drain over kitchen towel to remove excess oil.finally serve instant rava vada with chutney and masala chai.,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530594-368,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,tri colour sandwich recipe | easy & quick layered sandwich recipes for kids,https://hebbarskitchen.com/easy-tri-colour-sandwich-recipes-kids/,Ingredients (1 cup = 255 ML),,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530610-389,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,semiya idli recipe | vermicelli instant idli recipe | rava semiya idli recipe,https://hebbarskitchen.com/instant-vermicelli-semiya-idli-recipe/,Ingredients (1 cup = 255 ML),,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530619-400,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,pesarattu recipe | moong dal dosa recipe | how to make pesarattu dosa,https://hebbarskitchen.com/pesarattu-recipe-moong-dal-dosa-recipe/,Ingredients (1 cup = 255 ML)for batter: 1 cup moong dal / hesaru kaal 2 tbsp chana dal water as required to soak 1 tbsp rice flour salt to tasteother ingredients: 7 tsp oil for roasting 7 dosa half onion finely chopped 1 inch ginger finely chopped 1 green chilli finely chopped,,,
1538530602-376,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,baked vada pav recipe | masala bun recipe | masala bun recipe,https://hebbarskitchen.com/baked-vada-pav-recipe-ladi-pav-recipe/,Ingredients (1 cup = 255 ML)for pav: ½ cup warm water 1 tsp sugar 1 tsp dry yeast 2 cups maida / plain flour / all-purpose flour salt to taste 2 tbsp butterfor aloo stuffing: 2 tsp oil 1 tsp mustard / rai few curry leaves pinch of asafoetida / hing 1 green chilli finely chopped 2 tsp ginger and garlic finely chopped 1 onion finely chopped ½ tsp turmeric / haldi 3 potatoes boiled and peeled salt to taste 2 tbsp coriander leaves finely chopped 2 tsp lemon juiceother ingredients: 4 tsp dry garlic powder 2 tsp milk 1 tsp butter,,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530627-414,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,idiyappam recipe | nool puttu | kerala style idiyappam with rice flour,https://hebbarskitchen.com/kerala-style-idiyappam-recipe-rice-flour/,,Instructionsfirstly in a kadai take 1¼ cup of water.also add salt and oil.stir well and get water to boilfurther simmer the flame and add roasted rice flour.mix continuously till the dough is formed.now turn off the flame cover and rest for 5 minutes.furthermore with wet hands knead and combine together.be careful as the dough is going to be very hot.now take noodle mould and fix to the chakli maker.grease the chakli maker with some oil. this prevents dough from sticking to mould.now make a cylindrical shape out of dough and place the dough inside maker. keep covered the rest dough else they will turn hard.tighten the lid and start preparing idiyappam.on the greased idli plate press in circular motion.further steam it for 10 minutes.finally serve idiyappam with tomato kurma or sweet coconut milk and topped with coconut oil.,,
1538530619-402,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,pesarattu recipe | moong dal dosa recipe | how to make pesarattu dosa,https://hebbarskitchen.com/pesarattu-recipe-moong-dal-dosa-recipe/,,Instructionsfirstly in a large mixing bowl soak moong dal and chana dal for atleast 4 - 8 hours.further drain off the water and blend to smooth batter. add water if required.transfer to a large bowl.add rice flour to get the extra crispiness.also add salt to taste.mix the batter well and get to dosa batter consistency. add water if required.further pour a ladleful of the batter on a hot griddle.spread it in a circular motion thin circle.also smear a little finely chopped onions jeera ginger - chili and oil over the pessarattu.press gently so that the onions stick to dosa.if the dosa is not cooked from top flip and cook both sides of dosa.now mark triangle over dosa to fold in triangle shape.slowly remove the dosa from ends.and fold to triangle or shape of your choice.finally serve pessarattu with hot uppitu allam chutney or coconut chutney.,,
1538530612-393,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,tomato pulao recipe | tomato bath recipe | south indian tomato rice,https://hebbarskitchen.com/tomato-pulao-recipe-tomato-rice-recipe/,,Instructionsfirstly in a pressure cooker heat ghee and saute spices cashews.also add onions and saute well.additionally add ginger garlic paste and chili. saute well.now add finely chopped tomatoes and saute well.further add mixed vegetables of your choice.saute the vegetables for 2 minutes.also add red chili powder turmeric salt coriander leaves and mint. continue to saute for 2 minutes.now add basmati rice soaked for 20 minutes.further add 1.5 cups of water and give a good mix.cover and pressure-cook for 2 whistles on medium flame.finally tomato pulao or tomato bath is ready to serve with raita.,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530596-372,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,veg frankie recipe | veg kathi roll recipe | veg frankie roll recipe,https://hebbarskitchen.com/veg-frankie-recipe-kathi-frankie-roll/,,Instructionsfirstly in saute capsicum for 2-3 minutes in some oil.further add boiled potato and crumbled paneer.add chili powder garam masala powder chaat masala and salt.mix well and prepare cylindrical shaped sticks. keep aside.now add butter onto the tawa.and roast leftover chapathi or wraps until they warm up.now place the roasted chapathi or wrap on a flat surface.spread generous amount of tomato sauce.also place lettuce carrot and onion in the centre of chapathi.further place the prepared cylindrical stuffing of aloo in center.and apply green chutney.now fold the bottom up.also slowly fold both the sides one after another.roll into aluminium foil or butter paper covering the frankie.finally veg frankie or kathi roll is ready to serve with tomato sauce.,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530592-364,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,methi thepla recipe | methi ka thepla recipe | methi na thepla recipe,https://hebbarskitchen.com/methi-thepla-recipe-methi-ka-thepla/,Ingredients (1 cup = 255 ML) 2 cups wheat flour / atta ¼ cup besan / gram flour ½ tsp kashmiri red chili powder / lal mirch powder 1 tsp sesame seeds / til ¼ tsp turmeric / haldi ½ tsp carom seeds / ajwain 1 green chili chopped salt to taste 1 inch ginger grated 1 cup methi leaves / fenugreek leaves finely chopped ½ cup curd / yogurt fresh / sour water as required to knead dough 2 tsp oil 5 tsp oil / ghee for roasting,,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530592-365,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,methi thepla recipe | methi ka thepla recipe | methi na thepla recipe,https://hebbarskitchen.com/methi-thepla-recipe-methi-ka-thepla/,Ingredients (1 cup = 255 ML),,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530612-391,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,tomato pulao recipe | tomato bath recipe | south indian tomato rice,https://hebbarskitchen.com/tomato-pulao-recipe-tomato-rice-recipe/,Ingredients (1 cup = 255 ML) 1 tbsp ghee / clarified butter 1 bay leaf / tej patta 5 cloves / lavang 1 star anise 1 inch cinnamon stick / dalchini 10 whole cashews halved 1 medium sized onion thinly sliced 1 tbsp ginger garlic paste / adrak-lasun paste 2 medium sized tomato finely chopped 1 green chili slit lengthwise ½ carrot chopped ¼ cup peas 1 small potato cubed 5 beans chopped ½ tsp kashmiri red chili powder / lal mirch powder ¼ tsp turmeric / haldi salt to taste 2 tbsp coriander leaves finely chopped 2 tbsp pudina / mint finely chopped 1 cup basmati rice soaked 20 minutes 1.5 cup water,,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530635-418,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,macaroni recipe | macaroni pasta recipe | indian recipe of macaroni,https://hebbarskitchen.com/macaroni-recipe-macaroni-pasta-recipe/,Ingredients (1 cup = 255 ML)to cook pasta: 1 cup macaroni pasta any shape 1 tsp oil salt to taste water as required to boilto prepare macaroni pasta: 2 tsp olive oil / any cooking oil 2 cloves garlic / lasun finely chopped ½ onion finely chopped 1 to mato finely chopped 5 florets broccoli ½ carrot finely chopped ½ capsicum cubed ½ tsp kashmiri red chili powder / lal mirch powder ½ tsp aamchur / dry mango powder salt to taste 2-3 tbsp tomato sauce ½ tsp pepper crushed 2 tsp cheddar cheese grated (optional) few spring onion greens finely chopped,,,
